equipo,elo,p_r32,p_r16,p_qf,p_sf,p_campeon
Spain,2165,95.3,41.4,27.9,18.7,12.1
Argentina,2113,90.6,36.4,23.2,14.3,8.5
France,2081,88.0,35.2,21.9,12.7,7.8
England,2020,89.2,31.8,18.9,10.4,5.7
Portugal,1984,82.9,27.2,15.8,8.5,4.7
Brazil,1984,87.7,29.6,16.6,8.8,4.6
Colombia,1975,81.9,26.2,14.5,8.0,4.1
Netherlands,1961,83.6,27.2,14.4,7.3,3.8
Germany,1923,86.1,24.5,12.9,6.2,3.3
Ecuador,1933,86.7,24.4,13.1,6.7,3.3
Switzerland,1889,88.4,26.2,12.5,6.1,3.1
Turkey,1902,77.3,23.9,12.5,6.6,2.9
Croatia,1930,82.7,24.0,12.8,6.5,2.8
Japan,1904,79.3,22.5,11.6,5.8,2.8
Uruguay,1892,80.6,21.7,11.2,5.8,2.7
Norway,1912,74.1,22.1,11.5,5.5,2.6
Mexico,1860,82.0,22.7,10.7,5.1,2.5
Senegal,1878,70.5,20.2,10.5,5.0,2.1
Belgium,1867,81.7,22.5,10.6,5.1,2.0
Paraguay,1833,71.0,18.3,8.0,4.0,1.8
Morocco,1822,74.1,17.6,8.0,3.5,1.5
Canada,1784,81.1,19.4,8.4,3.5,1.5
Scotland,1767,68.5,14.1,6.3,2.6,1.2
Iran,1760,71.7,14.9,6.3,2.7,1.2
Austria,1827,67.3,15.2,7.1,3.3,1.2
South Korea,1752,72.2,16.3,6.7,2.9,1.1
Australia,1783,64.7,15.1,6.3,2.4,1.0
Uzbekistan,1727,55.1,9.9,4.1,1.7,0.8
Panama,1737,61.6,11.2,4.6,2.1,0.8
United States,1721,56.9,11.5,4.5,1.8,0.8
Algeria,1743,57.1,10.6,4.6,1.9,0.8
Czech Republic,1726,70.2,15.1,5.8,2.3,0.7
Sweden,1719,57.7,9.7,3.9,1.6,0.6
Ivory Coast,1676,62.4,10.3,4.0,1.6,0.6
Egypt,1689,63.7,11.0,4.1,1.5,0.5
Jordan,1690,49.7,7.9,3.0,1.1,0.5
Tunisia,1636,47.8,6.8,2.5,0.8,0.3
New Zealand,1585,51.4,6.7,2.4,0.8,0.3
Bosnia and Herzegovina,1594,60.5,8.8,2.8,0.8,0.3
DR Congo,1655,46.0,6.5,2.6,0.9,0.2
Iraq,1607,35.5,5.1,2.0,0.6,0.2
South Africa,1524,44.6,5.7,1.6,0.6,0.2
Ghana,1503,31.4,2.8,0.8,0.2,0.1
Cape Verde,1549,39.9,4.7,1.4,0.4,0.1
Qatar,1425,38.0,3.4,0.9,0.3,0.1
Haiti,1532,37.4,4.2,1.5,0.4,0.1
Saudi Arabia,1568,42.9,5.1,1.8,0.5,0.1
Curaçao,1436,31.1,2.5,0.7,0.1,0.0
