torneo,fecha,home_team,away_team,home_score,away_score,elo_h,elo_a,lambda_h,lambda_a,p_home,p_draw,p_away,resultado,brier,logloss,rps
2018,2018-06-14,Russia,Saudi Arabia,5,0,1684.0,1565.0,1.491,1.119,0.4575,0.2579,0.2845,H,0.4418,0.7819,0.1876
2018,2018-06-15,Egypt,Uruguay,0,1,1641.0,1876.0,0.973,1.715,0.2132,0.2386,0.5481,A,0.3066,0.6013,0.1248
2018,2018-06-15,Morocco,Iran,0,1,1709.0,1796.0,1.163,1.435,0.306,0.2612,0.4329,A,0.4835,0.8373,0.2076
2018,2018-06-15,Portugal,Spain,3,3,2000.0,2048.0,1.219,1.369,0.333,0.2638,0.4032,D,0.8155,1.3327,0.1367
2018,2018-06-16,France,Australia,2,1,1994.0,1734.0,1.767,0.944,0.5676,0.2331,0.1993,H,0.281,0.5663,0.1133
2018,2018-06-16,Argentina,Iceland,1,1,1983.0,1787.0,1.636,1.02,0.5176,0.2464,0.236,D,0.8916,1.4009,0.1618
2018,2018-06-16,Peru,Denmark,0,1,1906.0,1841.0,1.397,1.194,0.4161,0.2628,0.3211,A,0.7031,1.1359,0.317
2018,2018-06-16,Croatia,Nigeria,2,0,1853.0,1698.0,1.557,1.071,0.4855,0.2532,0.2613,H,0.3971,0.7225,0.1665
2018,2018-06-17,Costa Rica,Serbia,0,1,1743.0,1770.0,1.25,1.334,0.348,0.2645,0.3875,A,0.5662,0.9481,0.2481
2018,2018-06-17,Germany,Mexico,0,1,2091.0,1858.0,1.711,0.975,0.5466,0.2391,0.2144,A,0.9731,1.54,0.458
2018,2018-06-17,Brazil,Switzerland,1,1,2130.0,1878.0,1.75,0.953,0.5614,0.2349,0.2037,D,0.942,1.4486,0.1783
2018,2018-06-18,Sweden,South Korea,1,0,1795.0,1732.0,1.394,1.197,0.4146,0.2629,0.3225,H,0.5159,0.8806,0.2234
2018,2018-06-18,Belgium,Panama,3,0,1929.0,1661.0,1.784,0.935,0.5738,0.2312,0.195,H,0.2731,0.5554,0.1098
2018,2018-06-18,Tunisia,England,1,2,1653.0,1940.0,0.914,1.826,0.1849,0.2266,0.5885,A,0.2548,0.5301,0.1017
2018,2018-06-19,Colombia,Japan,1,2,1927.0,1693.0,1.713,0.974,0.5473,0.2388,0.2138,A,0.9747,1.5426,0.4588
