goals,elo_diff
1,252.0
0,363.0
0,-12.0
0,-163.0
5,457.0
1,-267.0
0,-398.0
3,31.0
5,315.0
1,31.0
0,-167.0
0,-28.0
1,354.0
0,406.0
5,-181.0
2,357.0
0,75.0
0,50.0
1,-717.0
4,641.0
2,62.0
0,-256.0
0,211.0
0,-183.0
1,-392.0
0,141.0
3,201.0
1,44.0
3,60.0
2,19.0
0,210.0
0,-60.0
0,-187.0
0,-210.0
2,247.0
2,-41.0
2,10.0
2,10.0
3,-14.0
0,-79.0
1,-249.0
5,364.0
1,-22.0
2,409.0
0,-234.0
1,256.0
2,204.0
1,-357.0
2,22.0
0,-270.0
2,109.0
1,-80.0
0,-200.0
1,330.0
1,-78.0
3,-122.0
1,-80.0
2,232.0
0,108.0
3,121.0
1,22.0
3,204.0
0,-438.0
0,-200.0
0,-4.0
3,-7.0
2,60.0
2,92.0
1,-113.0
2,402.0
2,342.0
1,43.0
1,85.0
1,-121.0
0,165.0
0,-68.0
0,38.0
4,584.0
1,-143.0
2,-22.0
1,149.0
2,-236.0
5,202.0
5,383.0
4,285.0
1,-37.0
0,168.0
1,183.0
0,-402.0
1,-465.0
1,165.0
6,19.0
4,200.0
4,180.0
1,-3.0
2,-53.0
1,432.0
1,115.0
0,-147.0
0,-306.0
1,111.0
0,322.0
0,55.0
2,32.0
1,236.0
1,-8.0
1,-29.0
0,-106.0
1,-213.0
1,-9.0
2,277.0
1,10.0
2,217.0
1,245.0
1,23.0
3,68.0
4,45.0
0,332.0
0,124.0
1,277.0
3,156.0
0,-236.0
0,45.0
4,-89.0
0,282.0
3,102.0
2,-259.0
3,-23.0
1,-77.0
2,71.0
1,44.0
1,259.0
3,235.0
1,-58.0
1,177.0
1,-32.0
0,253.0
1,225.0
3,-138.0
3,194.0
0,-261.0
0,-119.0
0,102.0
1,346.0
1,3.0
3,310.0
1,-44.0
0,-240.0
2,289.0
1,209.0
1,62.0
1,-19.0
2,112.0
0,-143.0
2,48.0
0,99.0
1,-375.0
0,67.0
0,-44.0
0,-23.0
0,-135.0
1,58.0
1,-90.0
1,251.0
1,-37.0
1,-142.0
2,-203.0
3,251.0
0,-194.0
0,298.0
1,248.0
0,-403.0
1,63.0
1,91.0
